+----------------------------------------------------------------------------+
| Statistics from last 100 episodes:                                         |
|----------------------------------------------------------------------------|
| Episodes   | Time       | Mean Score     | Mean Max Tile  | Max Tile       |
|      25900 |     174.23 |       15368.64 |        1098.24 |           2048 |
|      26000 |     173.41 |       15372.09 |        1088.00 |           2048 |
Model saved to td_agent_episode_ft26000.pkl
|      26100 |     304.41 |       15373.56 |        1064.96 |           2048 |
|      26200 |     178.62 |       15379.35 |        1149.44 |           2048 |
|      26300 |     165.35 |       15378.65 |        1029.12 |           2048 |
|      26400 |     168.85 |       15380.04 |        1049.60 |           2048 |
|      26500 |     182.96 |       15387.52 |        1128.96 |           2048 |
|      26600 |     175.90 |       15391.88 |        1082.88 |           4096 |
|      26700 |     172.93 |       15394.50 |        1057.28 |           4096 |
|      26800 |     175.30 |       15397.69 |        1103.36 |           4096 |
|      26900 |     174.02 |       15400.74 |        1091.84 |           4096 |
|      27000 |     155.63 |       15394.58 |         913.92 |           2048 |
Model saved to td_agent_episode_ft27000.pkl
|      27100 |     306.06 |       15394.04 |        1026.56 |           2048 |
|      27200 |     169.72 |       15394.48 |        1029.12 |           2048 |
|      27300 |     188.73 |       15403.72 |        1167.36 |           4096 |
|      27400 |     175.68 |       15407.26 |        1082.88 |           2048 |
|      27500 |     170.75 |       15408.24 |        1029.12 |           2048 |
|      27600 |     175.34 |       15411.91 |        1088.00 |           4096 |
|      27700 |     181.40 |       15417.98 |        1169.92 |           2048 |
|      27800 |     170.64 |       15418.93 |        1052.16 |           4096 |
|      27900 |     182.15 |       15425.51 |        1146.88 |           4096 |
|      28000 |     172.34 |       15427.10 |        1044.48 |           2048 |
Model saved to td_agent_episode_ft28000.pkl
|      28100 |     315.65 |       15431.93 |        1077.76 |           4096 |
|      28200 |     180.14 |       15436.77 |        1103.36 |           2048 |
|      28300 |     175.52 |       15439.45 |        1067.52 |           2048 |
|      28400 |     181.34 |       15443.06 |        1080.32 |           2048 |
|      28500 |     185.97 |       15448.77 |        1121.28 |           2048 |
|      28600 |     187.65 |       15456.94 |        1149.44 |           2048 |
|      28700 |     175.61 |       15459.78 |        1088.00 |           2048 |
|      28800 |     177.01 |       15463.31 |        1117.44 |           2048 |
|      28900 |     172.42 |       15464.80 |        1070.08 |           4096 |
|      29000 |     175.44 |       15467.86 |        1111.04 |           2048 |
Model saved to td_agent_episode_ft29000.pkl
|      29100 |     317.31 |       15470.03 |        1090.56 |           4096 |
|      29200 |     212.40 |       15479.70 |        1251.84 |           4096 |
|      29300 |     177.48 |       15482.82 |        1111.04 |           2048 |
|      29400 |     182.44 |       15488.00 |        1113.60 |           2048 |
|      29500 |     176.74 |       15490.40 |        1080.32 |           2048 |
|      29600 |     163.27 |       15487.62 |        1012.48 |           4096 |
|      29700 |     180.50 |       15492.53 |        1136.64 |           2048 |
|      29800 |     175.10 |       15494.67 |        1075.20 |           2048 |
|      29900 |     174.75 |       15496.19 |        1036.80 |           2048 |
|      30000 |     175.49 |       15498.96 |        1072.64 |           4096 |
Model saved to td_agent_episode_ft30000.pkl
|      30100 |     328.62 |       15502.97 |        1131.52 |           2048 |
|      30200 |     179.71 |       15507.02 |        1149.44 |           4096 |
|      30300 |     181.40 |       15511.71 |        1128.96 |           2048 |
|      30400 |     175.95 |       15514.40 |        1085.44 |           4096 |
|      30500 |     184.06 |       15519.94 |        1134.08 |           4096 |
|      30600 |     173.28 |       15521.43 |        1095.68 |           4096 |
|      30700 |     189.59 |       15529.96 |        1226.24 |           4096 |
|      30800 |     182.45 |       15535.06 |        1121.28 |           4096 |
|      30900 |     176.05 |       15537.47 |        1118.72 |           4096 |
|      31000 |     167.50 |       15535.85 |        1003.52 |           2048 |
Model saved to td_agent_episode_ft31000.pkl
|      31100 |     331.05 |       15543.21 |        1182.72 |           4096 |
|      31200 |     168.47 |       15541.56 |         975.36 |           2048 |
|      31300 |     184.01 |       15547.55 |        1152.00 |           2048 |
|      31400 |     173.81 |       15549.68 |        1100.80 |           4096 |
|      31500 |     174.17 |       15551.35 |        1072.64 |           4096 |
|      31600 |     195.11 |       15552.60 |        1070.08 |           4096 |
|      31700 |     177.98 |       15555.75 |        1100.80 |           2048 |
|      31800 |     143.31 |       15554.05 |         985.60 |           2048 |
|      31900 |     184.36 |       15559.94 |        1195.52 |           4096 |
|      32000 |     193.00 |       15562.85 |        1095.68 |           4096 |
Model saved to td_agent_episode_ft32000.pkl
|      32100 |     336.77 |       15565.95 |        1126.40 |           4096 |
|      32200 |     176.50 |       15567.35 |        1044.48 |           2048 |
|      32300 |     152.73 |       15569.29 |        1064.96 |           2048 |
|      32400 |     187.85 |       15575.94 |        1185.28 |           4096 |
|      32500 |     210.13 |       15582.30 |        1181.44 |           4096 |
|      32600 |     147.63 |       15582.39 |        1059.84 |           2048 |
|      32700 |     209.38 |       15587.66 |        1123.84 |           4096 |
|      32800 |     149.69 |       15588.20 |        1031.68 |           2048 |
|      32900 |     176.35 |       15590.47 |        1108.48 |           2048 |
|      33000 |     179.72 |       15593.52 |        1105.92 |           2048 |
Model saved to td_agent_episode_ft33000.pkl
|      33100 |     339.42 |       15596.75 |        1108.48 |           2048 |
|      33200 |     184.18 |       15601.08 |        1105.92 |           2048 |
|      33300 |     181.09 |       15604.69 |        1139.20 |           2048 |
|      33400 |     168.98 |       15603.56 |        1024.00 |           4096 |
|      33500 |     188.97 |       15610.19 |        1190.40 |           2048 |
|      33600 |     181.21 |       15612.91 |        1067.52 |           2048 |
|      33700 |     194.53 |       15621.55 |        1203.20 |           4096 |
|      33800 |     179.99 |       15624.76 |        1085.44 |           2048 |
|      33900 |     184.16 |       15629.13 |        1152.00 |           2048 |
|      34000 |     170.12 |       15629.35 |        1072.64 |           4096 |
Model saved to td_agent_episode_ft34000.pkl
|      34100 |     332.35 |       15633.18 |        1105.92 |           2048 |
|      34200 |     176.61 |       15635.26 |        1100.80 |           2048 |
|      34300 |     188.38 |       15641.81 |        1203.20 |           4096 |
|      34400 |     178.99 |       15644.50 |        1093.12 |           2048 |
|      34500 |     183.79 |       15649.11 |        1157.12 |           2048 |
|      34600 |     179.95 |       15652.60 |        1125.12 |           4096 |
|      34700 |     175.91 |       15654.23 |        1095.68 |           2048 |
|      34800 |     175.73 |       15655.14 |        1041.92 |           2048 |
|      34900 |     180.58 |       15658.53 |        1139.20 |           2048 |
|      35000 |     176.92 |       15660.09 |        1059.84 |           2048 |
Model saved to td_agent_episode_ft35000.pkl
|      35100 |     334.30 |       15660.66 |        1008.64 |           2048 |
|      35200 |     171.63 |       15661.56 |        1059.84 |           2048 |
|      35300 |     192.64 |       15661.31 |        1034.24 |           2048 |
|      35400 |     176.36 |       15662.92 |        1044.48 |           2048 |
